Loja;mes;ano;volume
Loja 11;Dezembro;2015;10
Loja 11;Janeiro;2016;0
Loja 11;Fevereiro;2016;0
Loja 11;Março;2016;0
Loja 11;Abril;2016;26.275
Loja 11;Maio;2016;21.875
Loja 11;Junho;2016;34.625
Loja 11;Julho;2016;46.125
Loja 11;Agosto;2016;32.15
Loja 11;Setembro;2016;0.25
Loja 11;Outubro;2016;4
Loja 11;Novembro;2016;0.35
Loja 11;Dezembro;2016;3
Loja 11;Janeiro;2017;9.325
Loja 11;Fevereiro;2017;0
Loja 11;Março;2017;2.075
Loja 11;Abril;2017;38.95
Loja 11;Maio;2017;47
Loja 11;Junho;2017;58.075
Loja 11;Julho;2017;78.75
Loja 11;Agosto;2017;56.875
Loja 11;Setembro;2017;49.25
Loja 11;Outubro;2017;51.325
Loja 11;Novembro;2017;1
Loja 11;Dezembro;2017;0
Loja 11;Janeiro;2018;8
Loja 11;Fevereiro;2018;6
Loja 11;Março;2018;0
Loja 11;Abril;2018;17.625
Loja 11;Maio;2018;2.5
Loja 11;Junho;2018;14.825
Loja 11;Julho;2018;44.9
Loja 11;Agosto;2018;39
Loja 11;Setembro;2018;8.25
Loja 11;Outubro;2018;1
Loja 11;Novembro;2018;56.5
Loja 11;Dezembro;2018;5.075
Loja 11;Janeiro;2019;0
Loja 11;Fevereiro;2019;0
Loja 11;Março;2019;7
Loja 11;Abril;2019;1
Loja 11;Maio;2019;19
Loja 11;Junho;2019;49
Loja 11;Julho;2019;32.5
Loja 11;Agosto;2019;31.5
Loja 11;Setembro;2019;20
Loja 11;Outubro;2019;0
Loja 11;Novembro;2019;0
Loja 11;Dezembro;2019;0
Loja 11;Janeiro;2020;6.50
Loja 11;Fevereiro;2020;0.00
Loja 11;Março;2020;0.00
Loja 11;Abril;2020;5.00
Loja 11;Maio;2020;
Loja 11;Junho;2020;
Loja 11;Julho;2020;
Loja 11;Agosto;2020;
Loja 11;Setembro;2020;
Loja 11;Outubro;2020;
Loja 11;Novembro;2020;
Loja 11;Dezembro;2020;
